team_name,match_id,player.name,starting_position,most_time_position
Nigeria,7529,John Michael Nchekwube Obinna,Center Attacking Midfield,Center Attacking Midfield
Nigeria,7529,Kelechi Promise Iheanacho,Center Forward,Center Forward
Nigeria,7529,Leon-Aderemi Balogun,Left Center Back,Left Center Back
Nigeria,7529,Odion Jude Ighalo,Center Forward,Center Forward
Nigeria,7529,Oghenekaro Etebo,Left Center Midfield,Left Center Midfield
Nigeria,7529,Onyinye Wilfred Ndidi,Right Center Midfield,Right Center Midfield
Nigeria,7529,Simeon Tochukwu Nwankwo,Center Attacking Midfield,Center Attacking Midfield
Nigeria,7529,Victor Moses,Right Wing,Right Wing
Nigeria,7529,William Troost-Ekong,Right Center Back,Right Center Back
Nigeria,7549,Ahmed Musa,Right Center Forward,Right Center Forward
Nigeria,7549,Alex Iwobi,Left Center Midfield,Center Attacking Midfield
Nigeria,7549,Brian Oladapo Idowu,Left Midfield,Left Midfield
Nigeria,7549,Francis Odinaka Uzoho,Goalkeeper,Goalkeeper
Nigeria,7549,John Michael Nchekwube Obinna,Center Midfield,Center Midfield
Nigeria,7549,Kelechi Promise Iheanacho,Left Center Forward,Left Center Forward
Nigeria,7549,Kenneth Josiah Omeruo,Left Center Back,Left Center Back
Nigeria,7549,Leon-Aderemi Balogun,Right Center Back,Right Center Back
Nigeria,7549,Odion Jude Ighalo,Left Center Forward,Right Center Forward
Nigeria,7549,Oghenekaro Etebo,Left Center Midfield,Left Center Midfield
Nigeria,7549,Onyinye Wilfred Ndidi,Right Center Midfield,Right Center Midfield
Nigeria,7549,Tyronne Ebuehi,Left Midfield,Left Midfield
Nigeria,7549,Victor Moses,Right Midfield,Right Midfield
Nigeria,7549,William Troost-Ekong,Center Back,Center Back
Nigeria,7564,Ahmed Musa,Left Center Forward,Left Center Forward
Nigeria,7564,Alex Iwobi,Left Center Back,Right Midfield
Nigeria,7564,Brian Oladapo Idowu,Left Wing Back,Left Wing Back
Nigeria,7564,Francis Odinaka Uzoho,Goalkeeper,Goalkeeper
Nigeria,7564,John Michael Nchekwube Obinna,Center Defensive Midfield,Center Defensive Midfield
Nigeria,7564,Kelechi Promise Iheanacho,Right Center Forward,Right Center Forward
Nigeria,7564,Kenneth Josiah Omeruo,Left Center Back,Left Center Back
Nigeria,7564,Leon-Aderemi Balogun,Right Center Back,Right Center Back
Nigeria,7564,Odion Jude Ighalo,Right Center Forward,Right Center Forward
Nigeria,7564,Oghenekaro Etebo,Left Center Midfield,Left Center Midfield
Nigeria,7564,Onyinye Wilfred Ndidi,Right Center Midfield,Right Center Midfield
Nigeria,7564,Simeon Tochukwu Nwankwo,Left Center Forward,Left Center Forward
Nigeria,7564,Victor Moses,Right Wing Back,Right Wing Back
Nigeria,7564,William Troost-Ekong,Center Back,Center Back
Panama,7536,Aníbal Cesis Godoy,Left Center Midfield,Left Center Midfield
Panama,7536,Armando Enrique Cooper Whitaker,Right Center Midfield,Right Center Midfield
Panama,7536,Blas Antonio Miguel Pérez Ortega,Center Forward,Center Forward
Panama,7536,Edgar Yoel Bárcenas Herrera,Right Wing,Right Wing
Panama,7536,Erick Javier Davis Grajales,Left Back,Left Back
Panama,7536,Fidel Escobar Mendieta,Left Center Back,Left Center Back
Panama,7536,Gabriel Arturo Torres Tejada,Right Wing,Right Wing
Panama,7536,Gabriel Enrique Gómez Girón,Center Defensive Midfield,Center Defensive Midfield
Panama,7536,Ismael Díaz De León,Left Wing,Left Wing
Panama,7536,Jaime Manuel Penedo Cano,Goalkeeper,Goalkeeper
Panama,7536,José Luis Rodriguez,Left Wing,Left Wing
Panama,7536,Luis Carlos Tejada Hansell,Center Forward,Center Forward
Panama,7536,Michael Amir Murillo Bermudez,Right Back,Right Back
Panama,7536,Román Aureliano Torres Morcillo,Right Center Back,Right Center Back
Panama,7554,Abdiel Arroyo Molinar,Right Wing,Right Wing
Panama,7554,Aníbal Cesis Godoy,Left Center Midfield,Left Center Midfield
Panama,7554,Armando Enrique Cooper Whitaker,Right Center Midfield,Right Center Midfield
